structureId,classification,residueCount
1N3Z,HYDROLASE,124
1N40,OXIDOREDUCTASE,396
1N45,OXIDOREDUCTASE,466
1N46,TRANSCRIPTION,516
1N4A,TRANSPORT PROTEIN,504
1N4D,TRANSPORT PROTEIN,504
1N4F,HYDROLASE,129
1N4G,OXIDOREDUCTASE,396
1N4O,HYDROLASE,552
1N4P,TRANSFERASE,4546
1N4Q,TRANSFERASE,4590
1N4R,TRANSFERASE,4590
1N4S,TRANSFERASE,4590
1N4U,OXIDOREDUCTASE,504
1N4V,OXIDOREDUCTASE,504
1N4W,OXIDOREDUCTASE,504
1N4X,IMMUNE SYSTEM,466
1N50,OXIDOREDUCTASE,1086
1N59,IMMUNE SYSTEM,768
1N5A,IMMUNE SYSTEM,1536
1N5D,OXIDOREDUCTASE,288
1N5G,TRANSFERASE,38
1N5I,TRANSFERASE,214
1N5J,TRANSFERASE,214
1N5K,TRANSFERASE,428
1N5L,TRANSFERASE,428
1N5M,HYDROLASE,1082
1N5N,HYDROLASE,360
1N5Q,OXIDOREDUCTASE,224
1N5R,HYDROLASE,1086
1N5S,OXIDOREDUCTASE,224
1N5T,OXIDOREDUCTASE,224
1N5V,OXIDOREDUCTASE,224
1N5W,OXIDOREDUCTASE,2526
1N5X,OXIDOREDUCTASE,2662
1N60,OXIDOREDUCTASE,2526
1N61,OXIDOREDUCTASE,2526
1N62,OXIDOREDUCTASE,2526
1N63,OXIDOREDUCTASE,2526
1N64,IMMUNE SYSTEM,454
1N68,OXIDOREDUCTASE,488
1N6A,TRANSFERASE,259
1N6B,OXIDOREDUCTASE,473
1N6C,TRANSFERASE,297
1N6D,HYDROLASE,6450
1N6E,HYDROLASE,6504
1N6F,HYDROLASE,6426
1N6U,IMMUNE SYSTEM,212
1N6V,IMMUNE SYSTEM,212
1N6X,HYDROLASE,223
1N6Y,HYDROLASE,223
1N70,OXIDOREDUCTASE,334
1N71,TRANSFERASE,720
1N72,TRANSFERASE,118
1N7G,LYASE,1524
1N7H,LYASE,762
1N7I,TRANSFERASE,564
1N7J,TRANSFERASE,564
1N7K,LYASE,468
1N7L,SIGNALING PROTEIN,53
1N7M,IMMUNE SYSTEM,429
1N7N,LYASE,721
1N7O,LYASE,721
1N7P,LYASE,721
1N7Q,LYASE,721
1N7R,LYASE,721
1N7S,TRANSPORT PROTEIN,276
1N7T,SIGNALING PROTEIN,110
1N7W,TRANSPORT PROTEIN,331
1N7X,TRANSPORT PROTEIN,331
1N82,HYDROLASE,662
1N84,TRANSPORT PROTEIN,331
1N8I,LYASE,741
1N8J,OXIDOREDUCTASE,3720
1N8K,OXIDOREDUCTASE,748
1N8N,HYDROLASE,212
1N8O,HYDROLASE,383
1N8P,LYASE,1572
1N8Q,OXIDOREDUCTASE,857
1N8S,HYDROLASE,544
1N8W,LYASE,1482
1N8Y,TRANSFERASE,608
1N8Z,TRANSFERASE,1041
1N90,OXIDOREDUCTASE,1086
1N92,OXIDOREDUCTASE,748
1N94,TRANSFERASE,712
1N95,TRANSFERASE,717
1N99,SIGNALING PROTEIN,332
1N9A,TRANSFERASE,717
1N9B,HYDROLASE,265
1N9E,OXIDOREDUCTASE,3148
1N9G,HYDROLASE,2316
1N9K,HYDROLASE,424
1N9U,SIGNALING PROTEIN,10
1N9V,SIGNALING PROTEIN,8
1NA6,HYDROLASE,808
1NA7,TRANSFERASE,329
1NAA,OXIDOREDUCTASE,1082
1NAE,HYDROLASE,168
1NAK,IMMUNE SYSTEM,898
1NAL,LYASE,1188
1NAM,IMMUNE SYSTEM,612
1NAN,IMMUNE SYSTEM,770
1NAS,OXIDOREDUCTASE,259
1NAW,TRANSFERASE,838
1NB0,TRANSFERASE,147
1NB2,TRANSFERASE,150
1NB3,HYDROLASE,1304
1NB4,TRANSFERASE,1140
1NB6,TRANSFERASE,1140
1NB8,HYDROLASE,706
1NB9,TRANSFERASE,147
1NBE,TRANSFERASE,926
1NBF,HYDROLASE,1211
1NBH,TRANSFERASE,1168
1NBI,TRANSFERASE,1168
1NBO,OXIDOREDUCTASE,1011
1NBQ,IMMUNE SYSTEM,418
1NBU,LYASE,952
1NBW,HYDROLASE,1448
1NC1,HYDROLASE,484
1NC2,IMMUNE SYSTEM,872
1NC3,HYDROLASE,484
1NC4,IMMUNE SYSTEM,872
1NC6,HYDROLASE,223
1NCL,TRANSFERASE,150
1NCN,IMMUNE SYSTEM,220
1NCW,IMMUNE SYSTEM,441
1ND0,IMMUNE SYSTEM,1764
1ND4,TRANSFERASE,528
1ND5,HYDROLASE,1416
1ND6,HYDROLASE,1416
1NDA,OXIDOREDUCTASE,1964
1NDB,TRANSFERASE,1192
1NDD,SIGNALING PROTEIN,304
1NDE,TRANSCRIPTION,255
1NDF,TRANSFERASE,1192
1NDI,TRANSFERASE,1192
1NDK,TRANSFERASE,155
1NDQ,HYDROLASE,269
1NDT,OXIDOREDUCTASE,336
1NDU,HYDROLASE,269
1NDV,HYDROLASE,356
1NDW,HYDROLASE,356
1NDY,HYDROLASE,356
1NDZ,HYDROLASE,356
1NE4,HYDROLASE,283
1NE6,HYDROLASE,283
1NE7,HYDROLASE,1734
1NEC,OXIDOREDUCTASE,864
1NED,HYDROLASE,549
1NEZ,IMMUNE SYSTEM,629
1NF1,SIGNALING PROTEIN,333
1NF3,SIGNALING PROTEIN,646
1NF7,OXIDOREDUCTASE,1028
1NF8,HYDROLASE,207
1NF9,HYDROLASE,207
1NFB,OXIDOREDUCTASE,1028
1NFF,OXIDOREDUCTASE,520
1NFG,HYDROLASE,1828
1NFQ,OXIDOREDUCTASE,1040
1NFR,OXIDOREDUCTASE,1040
1NFT,TRANSPORT PROTEIN,329
1NFU,HYDROLASE,449
1NFW,HYDROLASE,388
1NFX,HYDROLASE,388
1NFY,HYDROLASE,388
1NG3,OXIDOREDUCTASE,780
1NG4,OXIDOREDUCTASE,780
1NGL,TRANSPORT PROTEIN,179
1NGS,TRANSFERASE,1360
1NGW,IMMUNE SYSTEM,858
1NGX,IMMUNE SYSTEM,858
1NGY,IMMUNE SYSTEM,429
1NGZ,IMMUNE SYSTEM,433
1NH6,HYDROLASE,540
1NH7,TRANSFERASE,304
1NH8,TRANSFERASE,304
1NHA,TRANSCRIPTION,82
1NHC,HYDROLASE,2016
1NHG,OXIDOREDUCTASE,578
1NHO,OXIDOREDUCTASE,85
1NHU,TRANSFERASE,1156
1NHV,TRANSFERASE,1156
1NHW,OXIDOREDUCTASE,578
1NHX,LYASE,625
1NI0,HYDROLASE,477
1NI1,TRANSFERASE,717
1NI3,HYDROLASE,392
1NI4,OXIDOREDUCTASE,1412
1NIK,TRANSCRIPTION,4504
1NIO,HYDROLASE,247
1NJ4,HYDROLASE,363
1NJ9,IMMUNE SYSTEM,854
1NJF,TRANSFERASE,1000
1NJG,TRANSFERASE,500
1NJJ,LYASE,1700
1NJS,TRANSFERASE,418
1NKG,LYASE,508
1NKI,TRANSFERASE,270
1NKO,IMMUNE SYSTEM,132
1NKU,HYDROLASE,187
1NKX,TRANSPORT PROTEIN,348
1NL0,IMMUNE SYSTEM,488
1NL1,HYDROLASE,147
1NL2,HYDROLASE,146
1NL4,TRANSFERASE,713
1NL6,HYDROLASE,430
1NL7,TRANSFERASE,1568
1NL9,HYDROLASE,321
1NLA,TRANSCRIPTION,128
1NLB,IMMUNE SYSTEM,438
1NLI,HYDROLASE,248
1NLJ,HYDROLASE,430
1NLM,TRANSFERASE,728
1NLN,HYDROLASE,215
1NLY,HYDROLASE,660
1NLZ,HYDROLASE,1980
1NM0,OXIDOREDUCTASE,484
1NM2,TRANSFERASE,317
1NM5,OXIDOREDUCTASE,971
1NM8,TRANSFERASE,616
1NM8,TRANSFERASE,616
1NM8,TRANSFERASE,616
1NM9,HYDROLASE,496
1NML,OXIDOREDUCTASE,326
1NMX,TRANSFERASE,215
1NMY,TRANSFERASE,209
1NMZ,TRANSFERASE,215
1NN0,TRANSFERASE,215
1NN1,TRANSFERASE,215
1NN3,TRANSFERASE,215
1NN5,TRANSFERASE,215
1NN6,HYDROLASE,228
1NND,TRANSFERASE,255
1NNI,OXIDOREDUCTASE,174
1NNL,HYDROLASE,450
1NNO,OXIDOREDUCTASE,1086
1NNR,TRANSFERASE,270
1NNS,HYDROLASE,652
1NNU,OXIDOREDUCTASE,578
1NNY,HYDROLASE,321
1NO3,OXIDOREDUCTASE,857
1NO6,HYDROLASE,321
1NOF,HYDROLASE,383
1NOS,OXIDOREDUCTASE,388
1NOU,HYDROLASE,1014
1NOW,HYDROLASE,1014
1NP0,HYDROLASE,978
1NP2,HYDROLASE,872
1NP3,OXIDOREDUCTASE,1352
1NP4,TRANSPORT PROTEIN,184
1NP7,LYASE,978
1NP8,HYDROLASE,318
1NPA,HYDROLASE,198
1NPB,TRANSFERASE,846
1NPJ,OXIDOREDUCTASE,1029
1NPN,OXIDOREDUCTASE,1029
1NPP,TRANSCRIPTION,992
1NPR,TRANSCRIPTION,248
1NPS,SIGNALING PROTEIN,88
1NPT,OXIDOREDUCTASE,1336
1NPU,IMMUNE SYSTEM,117
1NPV,HYDROLASE,198
1NPW,HYDROLASE,198
1NPZ,HYDROLASE,434
1NQ5,OXIDOREDUCTASE,1336
1NQ6,HYDROLASE,302
1NQ7,TRANSCRIPTION,254
1NQA,OXIDOREDUCTASE,1336
1NQC,HYDROLASE,217
1NQD,HYDROLASE,244
1NQE,TRANSPORT PROTEIN,594
1NQF,TRANSPORT PROTEIN,594
1NQG,TRANSPORT PROTEIN,594
1NQH,TRANSPORT PROTEIN,594
1NQJ,HYDROLASE,238
1NQK,OXIDOREDUCTASE,381
1NQO,OXIDOREDUCTASE,1336
1NQT,OXIDOREDUCTASE,5952
1NQU,TRANSFERASE,770
1NQV,TRANSFERASE,770
1NQW,TRANSFERASE,770
1NQX,TRANSFERASE,770
1NQY,HYDROLASE,194
1NQZ,HYDROLASE,194
1NR1,OXIDOREDUCTASE,2976
1NR3,TRANSCRIPTION,122
1NR5,LYASE,786
1NR6,OXIDOREDUCTASE,473
1NR7,OXIDOREDUCTASE,5952
1NRG,OXIDOREDUCTASE,261
1NRL,TRANSCRIPTION,682
1NRV,SIGNALING PROTEIN,210
1NRW,HYDROLASE,288
1NRX,LYASE,786
1NRZ,TRANSFERASE,656
1NSE,OXIDOREDUCTASE,888
1NSI,OXIDOREDUCTASE,1724
1NSL,TRANSFERASE,1104
1NSO,HYDROLASE,107
1NSY,LYASE,542
1NT4,HYDROLASE,782
1NTE,SIGNALING PROTEIN,82
1NTF,TRANSPORT PROTEIN,282
1NTH,TRANSFERASE,458
1NTJ,IMMUNE SYSTEM,320
1NTK,OXIDOREDUCTASE,2145
1NTL,IMMUNE SYSTEM,1102
1NTM,OXIDOREDUCTASE,2145
1NTO,OXIDOREDUCTASE,2082
1NTV,SIGNALING PROTEIN,162
1NTY,SIGNALING PROTEIN,311
1NTZ,OXIDOREDUCTASE,2145
1NU1,OXIDOREDUCTASE,2145
1NU2,SIGNALING PROTEIN,162
1NU3,HYDROLASE,298
1NU6,HYDROLASE,1456
1NU8,HYDROLASE,1459
1NUA,LYASE,786
1NUD,TRANSFERASE,1384
1NUF,TRANSFERASE,692
1NUG,TRANSFERASE,1384
1NUK,TRANSFERASE,183
1NUP,TRANSFERASE,504
1NUQ,TRANSFERASE,504
1NUR,TRANSFERASE,504
1NUS,TRANSFERASE,504
1NUT,TRANSFERASE,504
1NUU,TRANSFERASE,504
1NUW,HYDROLASE,337
1NUX,HYDROLASE,337
1NUY,HYDROLASE,337
1NUZ,HYDROLASE,337
1NV0,HYDROLASE,337
1NV1,HYDROLASE,337
1NV2,HYDROLASE,337
1NV3,HYDROLASE,337
1NV4,HYDROLASE,337
1NV5,HYDROLASE,337
1NV6,HYDROLASE,337
1NV7,HYDROLASE,674
1NV8,TRANSFERASE,568
1NV9,TRANSFERASE,284
1NVA,LYASE,786
1NVB,LYASE,786
1NVD,LYASE,786
1NVE,LYASE,1572
1NVF,LYASE,1179
1NVG,OXIDOREDUCTASE,347
1NVI,TRANSFERASE,231
1NVJ,TRANSFERASE,840
1NVK,TRANSFERASE,351
1NVQ,TRANSFERASE,294
1NVR,TRANSFERASE,294
1NVS,TRANSFERASE,294
1NVT,OXIDOREDUCTASE,574
1NVU,SIGNALING PROTEIN,813
1NVV,SIGNALING PROTEIN,813
1NVW,SIGNALING PROTEIN,813
1NVX,SIGNALING PROTEIN,813
1NW1,TRANSFERASE,858
1NW3,TRANSFERASE,416
1NW4,TRANSFERASE,1656
1NW5,TRANSFERASE,319
1NW6,TRANSFERASE,319
1NW7,TRANSFERASE,319
1NW8,TRANSFERASE,319
1NWA,OXIDOREDUCTASE,203
1NWC,OXIDOREDUCTASE,742
1NWE,HYDROLASE,298
1NWH,OXIDOREDUCTASE,742
1NWL,HYDROLASE,298
1NWR,SIGNALING PROTEIN,1448
1NWS,SIGNALING PROTEIN,1448
1NWT,SIGNALING PROTEIN,1448
1NWU,SIGNALING PROTEIN,1448
1NWW,HYDROLASE,298
1NWZ,SIGNALING PROTEIN,125
1NX2,HYDROLASE,173
1NX3,HYDROLASE,173
1NX6,OXIDOREDUCTASE,371
1NX9,HYDROLASE,2608
1NXC,HYDROLASE,478
1NXE,TRANSFERASE,854
1NXG,TRANSFERASE,854
1NXK,TRANSFERASE,1600
1NXO,SIGNALING PROTEIN,120
1NXP,SIGNALING PROTEIN,120
1NXQ,OXIDOREDUCTASE,251
1NXS,SIGNALING PROTEIN,120
1NXT,SIGNALING PROTEIN,120
1NXV,SIGNALING PROTEIN,120
1NXW,SIGNALING PROTEIN,120
1NXX,SIGNALING PROTEIN,120
1NXY,HYDROLASE,263
1NY0,HYDROLASE,263
1NY3,TRANSFERASE,400
1NY5,TRANSCRIPTION,774
1NY6,TRANSCRIPTION,3738
1NY9,TRANSCRIPTION,143
1NYM,HYDROLASE,263
1NYO,IMMUNE SYSTEM,163
1NYT,OXIDOREDUCTASE,1084
1NYX,TRANSCRIPTION,552
1NYY,HYDROLASE,263
1NZ0,HYDROLASE,472
1NZ7,HYDROLASE,321
1NZ8,TRANSCRIPTION,119
1NZ9,TRANSCRIPTION,58
1NZD,TRANSFERASE,351
1NZE,OXIDOREDUCTASE,149
1NZF,TRANSFERASE,351
1NZI,HYDROLASE,318
1NZL,TRANSFERASE,214
1NZO,HYDROLASE,363
1NZS,SIGNALING PROTEIN,19
1NZU,HYDROLASE,363
1NZV,TRANSFERASE,214
1NZW,OXIDOREDUCTASE,4000
1NZX,OXIDOREDUCTASE,4000
1NZY,LYASE,807
1NZZ,OXIDOREDUCTASE,4000
1O00,OXIDOREDUCTASE,4000
1O01,OXIDOREDUCTASE,4000
1O02,OXIDOREDUCTASE,4000
1O04,OXIDOREDUCTASE,4000
1O05,OXIDOREDUCTASE,4000
1O06,TRANSPORT PROTEIN,20
1O07,HYDROLASE,716
1O0E,HYDROLASE,416
1O0F,HYDROLASE,248
1O0H,HYDROLASE,248
1O0M,HYDROLASE,248
1O0N,HYDROLASE,248
1O0O,HYDROLASE,248
1O0Q,HYDROLASE,463
1O0R,TRANSFERASE,572
1O0S,OXIDOREDUCTASE,1210
1O0T,HYDROLASE,463
1O0V,IMMUNE SYSTEM,654
1O0W,HYDROLASE,504
1O0X,HYDROLASE,262
1O12,HYDROLASE,752
1O17,TRANSFERASE,1380
1O1R,TRANSFERASE,807
1O1S,TRANSFERASE,807
1O1T,TRANSFERASE,807
1O1W,HYDROLASE,138
1O1Y,TRANSFERASE,239
1O1Y,TRANSFERASE,239
1O1Z,HYDROLASE,234
1O20,OXIDOREDUCTASE,427
1O24,TRANSFERASE,928
1O25,TRANSFERASE,928
1O26,TRANSFERASE,928
1O27,TRANSFERASE,928
1O28,TRANSFERASE,928
1O29,TRANSFERASE,928
1O2A,TRANSFERASE,928
1O2B,TRANSFERASE,928
1O2D,OXIDOREDUCTASE,742
1O2E,HYDROLASE,123
1O2F,TRANSFERASE,258
1O2H,HYDROLASE,223
1O2I,HYDROLASE,223
1O2J,HYDROLASE,223
1O2K,HYDROLASE,223
1O2L,HYDROLASE,223
1O2M,HYDROLASE,223
1O2N,HYDROLASE,223
1O2O,HYDROLASE,223
1O2P,HYDROLASE,223
1O2Q,HYDROLASE,223
1O2R,HYDROLASE,223
1O2S,HYDROLASE,223
1O2T,HYDROLASE,223
1O2U,HYDROLASE,223
1O2V,HYDROLASE,223
1O2W,HYDROLASE,223
1O2X,HYDROLASE,223
1O2Y,HYDROLASE,223
1O2Z,HYDROLASE,223
1O30,HYDROLASE,223
1O31,HYDROLASE,223
1O32,HYDROLASE,223
1O33,HYDROLASE,223
1O34,HYDROLASE,223
1O35,HYDROLASE,223
1O36,HYDROLASE,223
1O37,HYDROLASE,223
1O38,HYDROLASE,223
1O39,HYDROLASE,223
1O3A,HYDROLASE,223
1O3B,HYDROLASE,223
1O3C,HYDROLASE,223
1O3D,HYDROLASE,223
1O3E,HYDROLASE,223
1O3F,HYDROLASE,223
1O3G,HYDROLASE,223
1O3H,HYDROLASE,223
1O3I,HYDROLASE,223
1O3J,HYDROLASE,223
1O3K,HYDROLASE,223
1O3L,HYDROLASE,223
1O3M,HYDROLASE,223
1O3N,HYDROLASE,223
1O3O,HYDROLASE,223
1O3W,HYDROLASE,123
1O41,SIGNALING PROTEIN,108
1O42,SIGNALING PROTEIN,108
1O43,SIGNALING PROTEIN,108
1O44,SIGNALING PROTEIN,108
1O45,SIGNALING PROTEIN,108
1O46,SIGNALING PROTEIN,108
1O47,SIGNALING PROTEIN,108
1O48,SIGNALING PROTEIN,108
1O49,SIGNALING PROTEIN,108
1O4A,SIGNALING PROTEIN,108
1O4B,SIGNALING PROTEIN,108
1O4C,SIGNALING PROTEIN,108
1O4D,SIGNALING PROTEIN,108
1O4E,SIGNALING PROTEIN,108
1O4F,SIGNALING PROTEIN,108
1O4G,SIGNALING PROTEIN,108
1O4H,SIGNALING PROTEIN,108
1O4I,SIGNALING PROTEIN,108
1O4J,SIGNALING PROTEIN,108
1O4K,SIGNALING PROTEIN,108
1O4L,SIGNALING PROTEIN,108
1O4M,SIGNALING PROTEIN,108
1O4N,SIGNALING PROTEIN,108
1O4O,SIGNALING PROTEIN,108
1O4P,SIGNALING PROTEIN,108
1O4Q,SIGNALING PROTEIN,108
1O4R,SIGNALING PROTEIN,108
1O4S,TRANSFERASE,778
1O4T,LYASE,266
1O4U,TRANSFERASE,570
1O4V,LYASE,183
1O4Y,HYDROLASE,288
1O4Z,HYDROLASE,1384
1O50,TRANSFERASE,157
1O50,TRANSFERASE,157
1O51,SIGNALING PROTEIN,114
1O53,TRANSFERASE,15
1O54,TRANSFERASE,277
1O58,TRANSFERASE,1212
1O59,HYDROLASE,355
1O59,HYDROLASE,355
1O5H,LYASE,428
1O5I,OXIDOREDUCTASE,996
1O5K,LYASE,612
1O5L,TRANSCRIPTION,213
1O5O,TRANSFERASE,884
1O5Q,LYASE,1220
1O5R,HYDROLASE,356
1O5W,OXIDOREDUCTASE,2136
1O60,TRANSFERASE,1168
1O63,TRANSFERASE,438
1O64,TRANSFERASE,438
1O66,TRANSFERASE,1375
1O68,TRANSFERASE,1375
1O6B,TRANSFERASE,169
1O6E,HYDROLASE,470
1O6F,HYDROLASE,710
1O6G,HYDROLASE,710
1O6K,TRANSFERASE,346
1O6L,TRANSFERASE,347
1O6U,TRANSFERASE,1209
1O6X,HYDROLASE,81
1O6Y,TRANSFERASE,299
1O6Z,OXIDOREDUCTASE,1212
1O76,OXIDOREDUCTASE,828
1O7A,HYDROLASE,3090
1O7D,HYDROLASE,949
1O7E,HYDROLASE,552
1O7G,OXIDOREDUCTASE,643
1O7H,OXIDOREDUCTASE,643
1O7J,HYDROLASE,1308
1O7M,OXIDOREDUCTASE,643
1O7N,OXIDOREDUCTASE,643
1O7O,TRANSFERASE,578
1O7P,OXIDOREDUCTASE,643
1O7Q,TRANSFERASE,578
1O7W,OXIDOREDUCTASE,643
1O88,HYDROLASE,353
1O8D,HYDROLASE,353
1O8E,HYDROLASE,353
1O8F,HYDROLASE,353
1O8G,HYDROLASE,353
1O8H,HYDROLASE,353
1O8I,HYDROLASE,353
1O8J,HYDROLASE,353
1O8K,HYDROLASE,353
1O8L,HYDROLASE,353
1O8M,HYDROLASE,353
1O8P,HYDROLASE,151
1O8S,HYDROLASE,168
1O8U,HYDROLASE,1542
1O8W,OXIDOREDUCTASE,146
1O90,TRANSFERASE,792
1O92,TRANSFERASE,792
1O93,TRANSFERASE,792
1O9B,OXIDOREDUCTASE,576
1O9G,TRANSFERASE,250
1O9H,TRANSFERASE,250
1O9I,OXIDOREDUCTASE,1596
1O9J,OXIDOREDUCTASE,2004
1O9L,TRANSFERASE,1924
1O9P,HYDROLASE,828
1O9S,TRANSFERASE,538
1O9T,TRANSFERASE,792
1OA1,OXIDOREDUCTASE,553
1OA2,HYDROLASE,1308
1OA3,HYDROLASE,872
1OA4,HYDROLASE,222
1OA7,HYDROLASE,214
1OA9,HYDROLASE,214
1OAA,OXIDOREDUCTASE,259
1OAB,LYASE,740
1OAC,OXIDOREDUCTASE,1454
1OAF,OXIDOREDUCTASE,261
1OAG,OXIDOREDUCTASE,261
1OAJ,OXIDOREDUCTASE,151
1OAL,OXIDOREDUCTASE,151
1OAQ,IMMUNE SYSTEM,241
1OAR,IMMUNE SYSTEM,928
1OAS,LYASE,644
1OAU,IMMUNE SYSTEM,928
1OAX,IMMUNE SYSTEM,684
1OAY,IMMUNE SYSTEM,684
1OAZ,IMMUNE SYSTEM,710
1OB0,HYDROLASE,483
1OB1,IMMUNE SYSTEM,1066
1OB3,TRANSFERASE,576
1OB8,HYDROLASE,270
1OB9,HYDROLASE,135
1OBA,HYDROLASE,339
1OBB,HYDROLASE,960
1OBL,HYDROLASE,828
1OBN,OXIDOREDUCTASE,331
1OBQ,TRANSPORT PROTEIN,362
1OBR,HYDROLASE,326
1OBU,TRANSPORT PROTEIN,362
1OBW,HYDROLASE,525
1OC1,OXIDOREDUCTASE,331
1OC2,LYASE,696
1OC3,OXIDOREDUCTASE,516
1OC4,OXIDOREDUCTASE,644
1OC5,HYDROLASE,364
1OC6,HYDROLASE,364
1OC7,HYDROLASE,364
1OCB,HYDROLASE,724
1OCE,HYDROLASE,537
1OCJ,HYDROLASE,362
1OCL,HYDROLASE,824
1OCN,HYDROLASE,362
1OCO,OXIDOREDUCTASE,3612
1OCQ,HYDROLASE,303
1OCR,OXIDOREDUCTASE,3612
1OCW,IMMUNE SYSTEM,241
1OCX,TRANSFERASE,546
1OCZ,OXIDOREDUCTASE,3612
1OD0,HYDROLASE,936
1OD3,HYDROLASE,168
1OD6,TRANSFERASE,160
1ODC,HYDROLASE,543
1ODI,TRANSFERASE,1410
1ODJ,TRANSFERASE,1410
1ODK,TRANSFERASE,1410
1ODL,TRANSFERASE,1410
1ODM,OXIDOREDUCTASE,331
1ODN,OXIDOREDUCTASE,331
1ODO,OXIDOREDUCTASE,408
1ODS,HYDROLASE,2544
1ODT,HYDROLASE,636
1ODU,HYDROLASE,898
1ODZ,HYDROLASE,772
1OE0,TRANSFERASE,920
1OE7,TRANSFERASE,422
1OE8,TRANSFERASE,422
1OEC,TRANSFERASE,316
1OEM,HYDROLASE,321
1OEO,HYDROLASE,321
1OEP,LYASE,432
1OES,HYDROLASE,321
1OET,HYDROLASE,321
1OEU,HYDROLASE,321
1OEV,HYDROLASE,321
1OEW,HYDROLASE,329
1OEY,IMMUNE SYSTEM,760
1OEZ,OXIDOREDUCTASE,612
1OF0,OXIDOREDUCTASE,513
1OF1,TRANSFERASE,752
1OF2,IMMUNE SYSTEM,385
1OF6,LYASE,2960
1OF8,LYASE,740
1OFA,LYASE,740
1OFB,LYASE,740
1OFD,OXIDOREDUCTASE,3040
1OFE,OXIDOREDUCTASE,3040
1OFG,OXIDOREDUCTASE,2286
1OFH,HYDROLASE,1974
1OFI,HYDROLASE,1974
1OFL,LYASE,481
1OFM,LYASE,481
1OFO,LYASE,740
1OFP,LYASE,1480
1OFQ,LYASE,1480
1OFR,LYASE,2960
1OG0,LYASE,2960
1OG1,TRANSFERASE,226
1OG3,TRANSFERASE,226
1OG4,TRANSFERASE,226
1OG6,OXIDOREDUCTASE,894
1OGB,HYDROLASE,998
1OGG,HYDROLASE,998
1OGH,HYDROLASE,408
1OGI,OXIDOREDUCTASE,303
1OGJ,OXIDOREDUCTASE,303
1OGK,HYDROLASE,1132
1OGL,HYDROLASE,283
1OGM,HYDROLASE,574
1OGO,HYDROLASE,574
1OGP,OXIDOREDUCTASE,2358
1OGS,HYDROLASE,994
1OGT,IMMUNE SYSTEM,385
1OGU,TRANSFERASE,1124
1OGY,OXIDOREDUCTASE,7456
1OH4,HYDROLASE,179
1OHC,HYDROLASE,348
1OHD,HYDROLASE,348
1OHE,HYDROLASE,352
1OHJ,OXIDOREDUCTASE,186
1OHK,OXIDOREDUCTASE,186
1OHL,LYASE,342
1OHT,HYDROLASE,215
1OHV,TRANSFERASE,1888
1OHW,TRANSFERASE,1888
1OHY,TRANSFERASE,1888
1OI0,HYDROLASE,496
1OI8,HYDROLASE,1064
1OID,HYDROLASE,1064
1OIE,HYDROLASE,532
1OIF,HYDROLASE,936
1OIH,OXIDOREDUCTASE,1204
1OII,OXIDOREDUCTASE,1204
1OIJ,OXIDOREDUCTASE,1204
1OIK,OXIDOREDUCTASE,602
1OIL,HYDROLASE,640
1OIM,HYDROLASE,936
1OIN,HYDROLASE,936
1OJ1,HYDROLASE,105
1OJ4,TRANSFERASE,566
1OJ7,OXIDOREDUCTASE,1632
1OJ9,OXIDOREDUCTASE,1040
1OJA,OXIDOREDUCTASE,1040
1OJC,OXIDOREDUCTASE,1040
1OJD,OXIDOREDUCTASE,5200
1OJG,TRANSFERASE,136
1OJI,HYDROLASE,402
1OJJ,HYDROLASE,804
1OJK,HYDROLASE,804
1OJM,LYASE,729
1OJN,LYASE,731
1OJO,LYASE,731
1OJP,LYASE,731
1OJQ,TRANSFERASE,212
1OJR,LYASE,274
1OJT,OXIDOREDUCTASE,482
1OJX,LYASE,2630
1OJZ,TRANSFERASE,212
1OK4,LYASE,2630
1OK6,LYASE,2630
1OK7,TRANSFERASE,748
1OKB,HYDROLASE,446
1OKC,TRANSPORT PROTEIN,297
1OKG,TRANSFERASE,373
1OKJ,HYDROLASE,1004
1OKL,LYASE,259
1OKM,LYASE,259
1OKN,LYASE,259
1OKS,TRANSFERASE,56
1OKT,TRANSFERASE,422
1OKY,TRANSFERASE,310
1OKZ,TRANSFERASE,310
1OL6,TRANSFERASE,282
1OLO,TRANSCRIPTION,558
1OLP,HYDROLASE,1480
1OLQ,HYDROLASE,436
1OLR,HYDROLASE,224
1OLS,OXIDOREDUCTASE,742
1OLT,OXIDOREDUCTASE,457
1OLU,OXIDOREDUCTASE,742
1OLX,OXIDOREDUCTASE,742
1OM1,TRANSFERASE,332
1OM3,IMMUNE SYSTEM,874
1OM4,OXIDOREDUCTASE,844
1OM5,OXIDOREDUCTASE,842
1OM6,HYDROLASE,463
1OM7,HYDROLASE,463
1OM8,HYDROLASE,463
1OME,HYDROLASE,516
1OMI,TRANSCRIPTION,496
1OMJ,HYDROLASE,463
1OMO,OXIDOREDUCTASE,644
1OMW,TRANSFERASE,1103
1OMX,TRANSFERASE,586
1OMZ,TRANSFERASE,586
1ON1,TRANSCRIPTION,284
1ON2,TRANSCRIPTION,284
1ON3,TRANSFERASE,3138
1ON6,TRANSFERASE,586
1ON8,TRANSFERASE,586
1ON9,TRANSFERASE,3138
1ONB,HYDROLASE,142
1ONE,LYASE,872
1ONF,OXIDOREDUCTASE,500
1ONG,HYDROLASE,265
1ONH,HYDROLASE,364
1ONL,OXIDOREDUCTASE,384
1ONN,OXIDOREDUCTASE,796
